11,2012,248,6,8.2,  #,Schönrich,2012, MNRAS,427, 274;,FGKM,dwarf,stars,+,MS,stars, SEGUE,(SDSS), mostly,within,a,few,kpc,from,the,Sun;,also,constraints,from,Sgr,A*,,,
11,2012,250,9,8.27, #,Schönrich,2012, MNRAS,427, 274;,same,,,,,,,,,,,,,,,,,,,,,,,
12,2012,238,14,8.05, #,Honma,et,al.,2012, PASJ,64, 136;,full,range,223-248,km,s-1, VERA,52,masers,,,,,,,,,,,,,,
2,2013,243,7,8.38, #,Reid,2013, IAUS,289, 188;,masers,,,,,,,,,,,,,,,,,,,,,,,
2,2013,267,17,7.66, #,Bobylev,2013, AstL,39, 95;,near-solar-circle,objects:,SF,regions, Cepheids;,14,Cepheids,with,Hipparcos,PMs,,,,,,,,,,,,,,
2,2013,217,11,7.64, #,Bobylev,2013, AstL,39, 95;,near-solar-circle,objects:,SF,regions, Cepheids;,18,Cepheids,with,UCAC4,PMs,,,,,,,,,,,,,,
2,2013,239,12,7.98, #,Zhu,&,Shen,2013, IAUS,289, 444;,Classical,Cepheids,,,,,,,,,,,,,,,,,,,,
2,2013,244,13,8.25, #,Zhu,&,Shen,2013, IAUS,289, 444;,O-B5,stars,(Hipparcos),,,,,,,,,,,,,,,,,,,
2,2013,260,15,8.03, #,Zhu,&,Shen,2013, IAUS,289, 444;,open,clusters,,,,,,,,,,,,,,,,,,,,
4,2013,206.5,20,8,  #,Bhattacharjee,et,al.,2013, PhRvD,87, 083525;,disk,objects,from,Sofue,-2012,,,,,,,,,,,,,,,,,
10,2013,238,14,8.05, #,Honma,2013, ASPC,476, 81;,masers,,,,,,,,,,,,,,,,,,,,,,,
12,2013,218,10,8,  #,Bovy,&,Rix,2013, ApJ,779, 115;,16,269,G-type,dwarfs, SEGUE,,,,,,,,,,,,,,,,,
